asn,ixp,ixp_cc,fac,fac_cc
214439,Hong Kong Global Internet Exchange,HK,Equinix HK1 - Hong Kong,HK
214439,Hong Kong Global Internet Exchange,HK,TGT Hong Kong Data Centre 2,HK
214439,Hong Kong Global Internet Exchange,HK,Equinix HK3 - Hong Kong,HK
214439,Hong Kong Global Internet Exchange,HK,MEGA Gateway (iAdvantage Hong Kong),HK
214439,Hong Kong Global Internet Exchange,HK,Equinix HK2 - Hong Kong,HK
214439,Hong Kong Global Internet Exchange,HK,China Unicom (Hong Kong) Global Center,HK
214439,Hong Kong Global Internet Exchange,HK,iTech Towers 1,HK
214439,Hong Kong Global Internet Exchange,HK,iTech Towers 2,HK
214439,Hong Kong Global Internet Exchange,HK,NTT Com Asia Hong Kong Financial Data Center,HK
214575,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
214575,CXIX - Great Lakes,US,Equinix MT1 - Montreal,CA
214575,CXIX - Great Lakes,US,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
214575,Protocol 7 IX - Lycheen Japan,JP,,
214575,BGP.Exchange - Los Angeles,US,,
214575,BGP.Exchange - Frankfurt,DE,,
214575,BGP.Exchange - Tokyo,JP,,
215502,4b42 Internet Exchange Point,CH,greenDatacenter Lupfig,CH
215502,BGP.Exchange - Dusseldorf,DE,,
215750,Poema IX,TW,,
215750,ONIX,CA,Equinix TR1 - Toronto,CA
215750,ONIX,CA,Telehouse Toronto (151 Front St West),CA
215750,ONIX,CA,Equinix TR2 - Toronto,CA
215750,NRIX,TW,Chief HD Building Taipei,TW
215750,FogIXP,CH,firstcolo - FRA4,DE
215750,FogIXP,CH,Digital Realty Zurich ZUR1,CH
215750,FogIXP,CH,colozueri.ch Zurich,CH
215750,FogIXP,CH,Digital Realty Frankfurt FRA1-27,DE
215750,FogIXP,CH,NTT Frankfurt 1 Data Center (FRA1),DE
215750,FogIXP,CH,NIKHEF Amsterdam,NL
215750,FogIXP,CH,Digital Realty Amsterdam AMS17,NL
215750,FogIXP,CH,NTT Zurich 1 Data Center (ZRH1),CH
215750,FogIXP,CH,Cogent Amsterdam,NL
215750,ZXIX Hangzhou,CN,,
215750,ZXIX Hong Kong,HK,,
214933,BGP.Exchange - Tokyo,JP,,
214933,BGP.Exchange - Toronto,CA,,
214933,Protocol 7 IX - Tokyo,JP,,
214933,CXIX - Great Lakes,US,Equinix MT1 - Montreal,CA
214933,CXIX - Great Lakes,US,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
214933,Protocol 7 IX - Hong Kong,HK,,
214933,AKIX - TFU,CN,,
214933,BGP.Exchange - Singapore,SG,,
214933,ZXIX Hong Kong,HK,,
214933,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
215786,BGP.Exchange - London,GB,,
215786,ZXIX Hong Kong,HK,,
214899,4b42 Internet Exchange Point,CH,greenDatacenter Lupfig,CH
214899,CXIX - Great Lakes,US,Equinix MT1 - Montreal,CA
214899,CXIX - Great Lakes,US,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
214899,BGP.Exchange - Singapore,SG,,
214613,LOCIX DUSSELDORF,DE,WIIT Datacenter DUS5,DE
214613,LOCIX DUSSELDORF,DE,"WIIT Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",DE
214955,ZXIX Hangzhou,CN,,
214955,DataSphere Internet Exchange (Hong Kong),HK,iTech Towers 2,HK
214955,AKIX - TFU,CN,,
214955,Protocol 7 IX - Hong Kong,HK,,
214955,CXIX - Great Lakes,US,Equinix MT1 - Montreal,CA
214955,CXIX - Great Lakes,US,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",US
214955,LoLi-IX - NGB,CN,LoliNya Network - NBDC,CN
214955,BGP.Exchange - Hong Kong,HK,iTech Towers 2,HK
214955,BGP.Exchange - Kansas,US,,
214955,ZXIX Hong Kong,HK,,
214955,BGP.Exchange - Zurich,CH,,
214848,BGP.Exchange - Tokyo,JP,,
214848,Protocol 7 IX - Tokyo,JP,,
214848,Protocol 7 IX - Hong Kong,HK,,
214963,Pigeon IX,US,Hetzner Online HEL1 (Helsinki),FI
214963,Pigeon IX,US,1530 SWIFT - NOCIX,US
